gazette_no,date,year,file,bytes,sha256,source_url,desc,pages,producer,chars,images,text_layer
2500/106,06 Aug 2026,2026,2500-106_06Aug2026.pdf,219158,6287879c8e64f232,https://www.ird.gov.lk/en/publications/Gazette_Documents/2026_2500_106_E.pdf,"The format and specification of the Tax Invoice to be issued by every registered person, in respect of the Value Added Tax",1,Adobe PDF Library 17.0,1183,2,yes
2481/22,27 Mar 2026,2026,2481-22_27Mar2026.pdf,294976,355b478128dd67b2,https://www.ird.gov.lk/en/publications/Gazette_Documents/2026_2481-22_E.pdf,"The format and specification of the Tax Invoice to be issued by every registered person, effective from July 01, 2026, in respect of the Value Added Tax,",4,Adobe PDF Library 17.0,7403,2,yes
2463/05,17 Nov 2025,2025,2463-05_17Nov2025.pdf,294368,af4c3272ccdd6054,https://www.ird.gov.lk/en/publications/Gazette_Documents/2025_2463-05_E.pdf,"The format and specification of the Tax Invoice to be issued by every registered person, effective from January 01, 2026, in respect of the Value Added Tax.",4,Adobe PDF Library 17.0,6434,2,yes
2456/02,29 Sep 2025,2025,2456-02_29Sep2025.pdf,278772,490802ecc6cfc693,https://www.ird.gov.lk/en/publications/Gazette_Documents/2025_2456-02_E.pdf,"Value Added Tax Act, No. 14 of 2002 - Conditions and specifications to operate Risk Based Refund Scheme",4,Adobe PDF Library 17.0,12054,2,yes
2443/30,01 Jul 2025,2025,2443-30_01Jul2025.pdf,238072,fd0787a40c316638,https://www.ird.gov.lk/en/publications/Gazette_Documents/2025_2443-30_E.pdf,"Value Added Tax Act, No. 14 of 2002, Procedure for Collecting and Paying Value Added Tax on the Supply of Services by a Non- resident Person through an Electronic Platform in Sri Lanka.",4,Adobe PDF Library 17.0,10578,2,yes
2429/39,27 Mar 2025,2025,2429-39_27Mar2025.pdf,177980,0fb1d14882af47d3,https://www.ird.gov.lk/en/publications/Gazette_Documents/2025_2429-39_E.pdf,"Stamp Duty (Special Provisions) Act, No. 12 Of 2006, Order under Section 3",1,Adobe PDF Library 10.0.1,2026,2,yes
2414/14,11 Dec 2024,2024,2414-14_11Dec2024.pdf,542273,01d7aa99be2e344b,https://www.ird.gov.lk/en/publications/Gazette_Documents/2024_2414-14_E.pdf,"Inland Revenue Act, No. 24 of 2017, Regulations under Section 86 (7)",7,Adobe PDF Library 10.0.1,12525,5,yes
2378/33,04 Apr 2024,2024,2378-33_04Apr2024.pdf,211160,64f74a5e3097d123,https://www.ird.gov.lk/en/publications/Gazette_Documents/2024_2378-33_E.pdf,"Inland Revenue Act, No. 24 of 2017, Notice under Subsection (3) of Section 145",1,Adobe PDF Library 10.0.1,1246,2,yes
2376/25,21 Mar 2024,2024,2376-25_21Mar2024.pdf,244563,fa4fa1c7c9dcc209,https://www.ird.gov.lk/en/publications/Gazette_Documents/2024_2376-25_E.pdf,"Inland Revenue Act, no. 24 of 2017, Regulation under Section 123 (8)",5,Adobe PDF Library 10.0.1,9416,2,yes
2363/22,19 Dec 2023,2023,2363-22_19Dec2023.pdf,217414,450eee58cae9aac7,https://www.ird.gov.lk/en/publications/Gazette_Documents/2023_2363-22_E.pdf,"Order under Section 2A of Value Added Tax Act, No. 14 of 2002 as amended by Act, No. 06 of 2005",1,Adobe PDF Library 10.0.1,1577,2,yes
2334/21,31 May 2023,2023,2334-21_31May2023.pdf,229656,5dab8e5ea647efdb,https://www.ird.gov.lk/en/publications/Gazette_Documents/2023_2334-21_E.pdf,"Notice made Under Section 102 of Inland Revenue Act, No. 24 of 2017",2,Adobe PDF Library 10.0.1,3361,2,yes
2316/13,24 Jan 2023,2023,2316-13_24Jan2023.pdf,263220,6b474f617b4eef74,https://www.ird.gov.lk/en/publications/Gazette_Documents/2023_2316-13_E.pdf,Order to specify matters relation to and the manner in which tax is calculated in respect of VAT on financial Services with effect from 01.10.2022,4,Adobe PDF Library 10.0.1,8182,2,yes
2312/73,31 Dec 2022,2022,2312-73_31Dec2022.pdf,202702,5a1a5251f23cb075,https://www.ird.gov.lk/en/publications/Gazette_Documents/2022_2312-73_E.pdf,"Stamp Duty (Special Provisions) Act, No. 12 of 2006, Order under Section 5",1,Adobe PDF Library 10.0.1,2151,1,yes
2295/10,31 Aug 2022,2022,2295-10_31Aug2022.pdf,338059,a0f391b1bd1359d8,https://www.ird.gov.lk/en/publications/Gazette_Documents/2022_2295-10_E.pdf,"Regulations made under Section 4 of the Casino Business (Regulation) Act, No. 17 of 2010, read with Section 3",10,Adobe PDF Library 10.0.1,25436,2,yes
2217/07,02 Mar 2021,2021,2217-07_02Mar2021.pdf,147775,2bf4d2d0d0319d12,https://www.ird.gov.lk/en/publications/Gazette_Documents/TP_2021_ 2217-07_E.pdf,Regulations on Transfer Pricing,43,Acrobat Distiller 15.0 (Windows),106402,1,yes
2149/18,14 Nov 2019,2019,2149-18_14Nov2019.pdf,36373,680dc5ed78c75f2a,https://www.ird.gov.lk/en/publications/Gazette_Documents/2019_2149-18_E.pdf,Stamp Duty (Special Provisions) Act No. 12 of 2006 - Order under Section 5,1,Acrobat Distiller 15.0 (Windows),1841,1,yes
2064/54,01 Apr 2018,2018,2064-54_01Apr2018.pdf,116065,9997b55e25e71169,https://www.ird.gov.lk/en/publications/Gazette_Documents/2018_2064-54_E.pdf,Notification specify the taxes or other levies which the deductions shall not be made in calculating a person's income,1,Acrobat Distiller 10.1.1 (Windows),2529,0,yes
1991/35,02 Nov 2016,2016,1991-35_02Nov2016.pdf,120657,c522571cddc545df,https://www.ird.gov.lk/en/publications/Gazette_Documents/2016_1991_35_E.pdf,The Facilitation of the Implementation of Revenue Administration Management Information System (RAMIS),3,Acrobat Distiller 10.1.1 (Windows),6754,0,yes
1868/10,23 Jun 2014,2014,1868-10_23Jun2014.pdf,37551,2a3c681c83d76890,https://www.ird.gov.lk/en/publications/Gazette_Documents/2014_1868_10_(E).pdf,Order to specify matters relating to and the manner in which Tax is calculated in respect of VAT on Financial Services with effect from 01.01.2014,4,Acrobat Distiller 7.0 (Windows),9456,0,yes
1728/13,19 Oct 2011,2011,1728-13_19Oct2011.pdf,105224,ca75fbf941b0578a,https://www.ird.gov.lk/en/publications/Gazette_Documents/2011_1728_13 (E).pdf,"Amendment to the Gaz. Ex. No. 1704/18 of 06.05.2011 - Inland Revenue Act, No. 10 of 2006",1,Acrobat Distiller 6.0 (Windows),1328,0,yes
1487/03,05 Mar 2007,2007,1487-03_05Mar2007.pdf,22220,62281b2b2e7252ca,https://www.ird.gov.lk/en/publications/Gazette_Documents/20071487_3(E).pdf,The Inland Revenue Act - The Approval of Authorized Representatives Regulations No.1 of 2006,2,Acrobat Distiller 3.01 for Windows,4556,0,yes
